20120508 66 84 19
20120509 65 82 18
20120510 64 80 18
20120511 56 68 12
20120512 52 61 10
20120513 51 60 10
20120514 50 58 9
20120515 48 56 9
20120516 46 54 9
20120517 44 52 9
20120518 42 50 9
20120519 40 48 9
20120520 38 45 9
20120521 35 40 9
20120522 32 37 9
20120523 30 35 9
20120524 29 34 9
20120525 26 31 9
20120526 18 22 6
20120527 15 17 4
20120528 12 12 4
20120529 10 10 4
20120530 6 6 2
20120531 2 2 1
20120601 121 130 25
20120602 116 125 24
20120603 112 121 24
20120604 109 118 24
20120605 108 117 23
20120606 107 116 23
20120607 105 113 23
20120608 103 110 23
20120609 98 104 20
20120610 93 98 16
20120611 88 93 15
20120612 84 89 14
20120613 80 85 13
20120614 76 81 13
20120615 72 77 11
20120616 70 74 9
20120617 65 69 6
20120618 62 66 6
20120619 57 61 6
20120620 52 56 6
20120621 49 52 6
20120622 45 48 6
20120623 40 43 5
20120624 35 38 5
20120625 32 35 5
20120626 24 27 4
20120627 18 21 4
20120628 12 14 4
20120629 8 8 2
20120630 3 3 1
20120701 143 152 20
20120702 142 151 20
20120703 140 148 20
20120704 137 145 20
20120705 132 140 20
20120706 130 138 20
20120707 125 132 19
20120708 121 128 19
20120709 118 125 19
20120710 115 122 19
20120711 113 120 19
20120712 108 115 19
20120713 104 110 18
20120714 99 104 18
20120715 96 101 18
20120716 91 96 18
20120717 78 83 18
20120718 76 81 18
20120719 66 71 18
20120720 53 58 15
20120721 46 48 12
20120722 42 43 10
20120723 38 39 9
20120724 36 37 9
20120725 31 32 8
20120726 22 23 5
20120727 18 19 3
20120728 15 16 2
20120729 12 12 1
20120730 10 10 1
20120731 5 5 1
20120801 113 118 16
20120802 106 111 16
20120803 98 103 15
20120804 90 95 14
20120805 89 94 14
20120806 86 91 14
20120807 79 84 14
20120808 73 77 13
20120809 69 72 13
20120810 67 70 12
20120811 65 68 12
20120812 60 62 11
20120813 58 60 11
20120814 53 55 10
20120815 49 50 9
20120816 38 39 8
20120817 34 35 7
20120818 28 29 6
20120819 25 26 5
20120820 24 25 5
20120821 21 22 4
20120822 20 21 4
20120823 19 19 3
20120824 17 17 3
20120825 15 15 3
20120826 13 13 2
20120827 10 10 2
20120828 9 9 2
20120829 8 8 2
20120830 5 5 1
20120903 49 50 3
20120904 48 49 3
20120905 47 48 3
20120906 45 46 3
20120907 43 44 3
20120908 41 42 3
20120911 39 40 3
20120912 38 39 3
20120913 37 38 3
20120914 33 34 3
20120915 30 31 2
20120916 29 30 2
20120917 26 27 2
20120918 25 26 2
20120919 24 25 2
20120920 22 23 2
20120921 21 22 2
20120922 19 20 2
20120923 16 17 2
20120924 14 15 2
20120925 13 14 2
20120926 12 13 2
20120927 10 10 1
20120928 6 6 0
20120929 3 3 0
20120930 2 2 0
20121001 66 67 6
20121002 65 66 5
20121003 63 64 5
20121004 61 62 5
20121005 59 60 5
20121006 56 57 5
20121007 52 53 5
20121008 46 47 5
20121009 45 46 5
20121010 43 44 5
20121011 38 38 5
20121012 35 35 4
20121013 34 34 4
20121014 33 33 4
20121015 29 29 3
20121016 28 28 3
20121017 27 27 3
20121018 26 26 3
20121019 24 24 3
20121020 23 23 3
20121021 21 21 2
20121022 18 18 2
20121023 16 16 2
20121024 14 14 2
20121025 13 13 2
20121026 12 12 2
20121027 11 11 2
20121028 6 6 0
20121029 5 5 0
20121030 4 4 0
20121031 2 2 0
20121101 67 75 4
20121102 65 73 4
20121103 61 68 4
20121104 58 65 4
20121105 56 63 4
20121106 54 61 4
20121107 51 56 4
20121108 50 55 4
20121109 49 54 4
20121110 45 50 4
20121111 43 47 4
20121112 41 45 4
20121113 39 43 4
20121114 37 41 4
20121115 36 40 4
20121116 34 38 3
20121117 33 37 3
20121118 29 33 3
20121119 28 32 3
20121120 27 31 3
20121121 26 30 3
20121122 25 29 3
20121123 23 27 3
20121124 22 26 3
20121125 21 25 3
20121126 19 23 3
20121127 17 21 2
20121128 15 17 2
20121129 12 13 1
20121130 4 4 1
20121201 84 97 9
20121202 80 93 9
20121203 74 86 9
20121205 69 80 9
20121206 67 78 9
20121211 59 69 8
20121212 52 59 7
20121213 49 56 7
20121214 46 52 6
20121215 45 51 6
20121216 41 47 6
20121217 40 46 6
20121218 39 45 6
20121219 33 35 2
20121220 29 31 2
20121221 27 29 1
20121222 24 26 1
20121223 22 24 1
20121224 17 17 1
20121225 16 16 1
20121226 14 14 1
20121227 12 12 1
20121228 11 11 1
20121229 8 8 1
20121230 7 7 0
20121231 5 5 0
