20120101 6 6 4
20120102 5 5 2
20120103 6 6 3
20120104 6 6 5
20120105 6 6 4
20120106 13 15 9
20120107 3 3 2
20120108 5 5 4
20120109 1 1 1
20120110 3 5 5
20120111 9 10 7
20120112 3 3 2
20120113 3 5 4
20120114 4 4 4
20120115 5 5 3
20120116 3 3 3
20120117 4 6 2
20120118 4 4 2
20120119 3 3 3
20120120 5 9 8
20120121 8 8 4
20120122 5 5 4
20120123 4 4 4
20120124 1 1 0
20120125 2 2 1
20120126 7 9 6
20120127 7 10 4
20120128 3 4 2
20120129 6 9 5
20120130 5 5 3
20120131 4 4 3
20120201 3 4 2
20120202 3 3 3
20120203 2 3 3
20120204 6 10 6
20120205 1 1 0
20120206 9 9 6
20120207 4 4 3
20120208 3 4 3
20120209 3 4 3
20120210 9 12 7
20120211 5 5 2
20120212 10 10 7
20120213 2 2 0
20120214 1 1 0
20120215 4 4 2
20120216 3 3 2
20120217 7 7 2
20120218 1 1 1
20120219 3 3 2
20120220 2 2 1
20120221 4 5 4
20120222 2 2 1
20120223 3 3 2
20120224 5 7 3
20120225 1 1 1
20120226 3 3 2
20120227 3 4 4
20120228 3 3 1
20120229 5 5 3
20120301 2 2 1
20120302 3 4 3
20120303 2 2 1
20120304 3 3 3
20120305 1 1 0
20120306 1 1 1
20120307 3 3 2
20120308 1 1 0
20120309 4 5 3
20120310 2 2 1
20120311 2 2 1
20120312 2 2 1
20120313 2 2 1
20120314 1 1 0
20120315 3 5 5
20120316 3 5 4
20120317 2 2 2
20120318 2 2 1
20120319 4 4 4
20120320 1 2 0
20120321 1 1 1
20120322 2 2 1
20120323 3 3 2
20120324 1 1 0
20120325 1 1 0
20120326 3 3 1
20120327 1 1 0
20120328 2 2 1
20120329 3 3 2
20120330 1 3 1
20120331 1 1 0
20120401 1 1 1
20120402 1 1 0
20120403 2 3 1
20120404 1 1 1
20120405 1 1 0
20120406 3 3 2
20120407 1 1 1
20120408 1 1 0
20120409 3 3 1
20120410 1 1 0
20120411 1 1 0
20120412 2 2 0
20120413 1 1 1
20120414 1 1 0
20120415 1 1 0
20120416 1 1 0
20120417 1 2 0
20120418 2 2 2
20120419 2 2 2
20120420 4 4 2
20120421 1 1 0
20120422 2 2 1
20120423 1 2 1
20120424 1 1 0
20120425 2 2 1
20120426 1 1 0
20120427 1 2 2
20120428 1 2 1
20120429 1 1 0
20120501 84 118 30
20120502 82 113 28
20120503 79 106 26
20120504 76 99 24
20120505 71 91 21
20120506 68 87 20
20120507 67 85 19
